time_ms,fan_actual
0,0.000
100,0.000
200,0.000
300,0.000
400,0.000
500,0.000
600,0.000
700,0.000
800,0.000
900,0.000
1000,0.000
1100,0.000
1200,0.000
1300,0.000
1400,0.000
1500,0.000
1600,0.000
1700,0.000
1800,0.000
1900,0.000
2000,0.000
2100,0.000
2200,0.000
2300,0.000
2400,0.000
2500,0.000
2600,0.000
2700,0.000
2800,0.000
2900,0.000
3000,0.000
3100,0.000
3200,0.000
3300,0.000
3400,0.000
3500,0.000
3600,0.000
3700,0.000
3800,0.000
3900,0.000
4000,0.000
4100,0.000
4200,0.000
4300,0.000
4400,0.000
4500,0.000
4600,0.000
4700,0.000
4800,0.000
4900,0.000
5000,0.000
5100,0.000
5200,0.000
5300,0.000
5400,0.000
5500,0.000
5600,0.000
5700,0.000
5800,0.000
5900,0.000
6000,0.000
6100,0.000
6200,0.000
6300,0.000
6400,0.000
6500,0.000
6600,0.000
6700,0.000
6800,0.000
6900,0.000
7000,0.000
7100,0.000
7200,0.000
7300,0.000
7400,0.000
7500,0.000
7600,0.000
7700,0.000
7800,0.000
7900,0.000
8000,0.000
8100,0.000
8200,0.000
8300,0.000
8400,0.000
8500,0.000
8600,0.000
8700,0.000
8800,0.000
8900,0.000
9000,0.000
9100,0.000
9200,0.000
9300,0.000
9400,0.000
9500,0.000
9600,0.000
9700,0.000
9800,0.000
9900,0.000
10000,0.000
10100,0.000
10200,0.000
10300,0.000
10400,0.000
10500,0.000
10600,0.000
10700,0.000
10800,0.000
10900,0.000
11000,0.000
11100,0.000
11200,0.000
11300,0.000
11400,0.000
11500,0.000
11600,0.000
11700,0.000
11800,0.000
11900,0.000
12000,0.000
12100,0.000
12200,0.000
12300,0.000
12400,0.000
12500,0.000
12600,0.000
12700,0.000
12800,0.000
12900,0.000
13000,0.000
13100,0.000
13200,0.000
13300,0.000
13400,0.000
13500,0.000
13600,0.000
13700,0.000
13800,0.000
13900,0.000
14000,0.000
14100,0.000
14200,0.000
14300,0.000
14400,0.000
14500,0.000
14600,0.000
14700,0.000
14800,0.000
14900,0.000
15000,0.000
15100,0.000
15200,0.000
15300,0.000
15400,0.000
15500,0.000
15600,0.000
15700,0.000
15800,0.000
15900,0.000
16000,0.000
16100,0.000
16200,0.000
16300,0.000
16400,0.000
16500,0.000
16600,0.000
16700,0.000
16800,0.000
16900,0.000
17000,0.000
17100,0.000
17200,0.000
17300,0.000
17400,0.000
17500,0.000
17600,0.000
17700,0.000
17800,0.000
17900,0.000
18000,0.000
18100,0.000
